"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
"2020-12-28","Brussels","NA","NA","NA",56,0
"2020-12-28","Flanders","NA","NA","NA",123,0
"2020-12-28","Wallonia","NA","NA","NA",119,0
"2020-12-29","Flanders","NA","NA","NA",1,0
"2020-12-30","Brussels","NA","NA","NA",5,0
"2020-12-30","Flanders","NA","NA","NA",473,0
"2020-12-30","Wallonia","NA","NA","NA",1,0
"2020-12-31","Flanders","NA","NA","NA",9,0
"2021-01-04","Flanders","NA","NA","NA",1,0
"2021-01-05","Brussels","NA","NA","NA",578,0
"2021-01-05","Flanders","NA","NA","NA",32,0
"2021-01-05","Wallonia","NA","NA","NA",890,0
"2021-01-06","Brussels","NA","NA","NA",985,0
"2021-01-06","Flanders","NA","NA","NA",851,0
"2021-01-06","Wallonia","NA","NA","NA",1926,0
"2021-01-07","Brussels","NA","NA","NA",940,0
"2021-01-07","Flanders","NA","NA","NA",2140,0
"2021-01-07","Wallonia","NA","NA","NA",4908,0
"2021-01-08","Brussels","NA","NA","NA",1224,0
"2021-01-08","Flanders","NA","NA","NA",2936,0
"2021-01-08","Wallonia","NA","NA","NA",4904,0
"2021-01-09","Brussels","NA","NA","NA",1,0
"2021-01-09","Flanders","NA","NA","NA",3160,0
"2021-01-09","Wallonia","NA","NA","NA",36,0
"2021-01-10","Brussels","NA","NA","NA",11,0
"2021-01-10","Flanders","NA","NA","NA",346,0
"2021-01-10","Wallonia","NA","NA","NA",36,0
"2021-01-11","Brussels","NA","NA","NA",10,0
"2021-01-11","Flanders","NA","NA","NA",3729,0
"2021-01-11","Wallonia","NA","NA","NA",1657,0
"2021-01-12","Brussels","NA","NA","NA",1075,0
"2021-01-12","Flanders","NA","NA","NA",8090,0
"2021-01-12","Wallonia","NA","NA","NA",6206,0
"2021-01-13","Brussels","NA","NA","NA",3191,0
"2021-01-13","Flanders","NA","NA","NA",9340,0
"2021-01-13","Wallonia","NA","NA","NA",7608,0
"2021-01-14","Brussels","NA","NA","NA",1660,0
"2021-01-14","Flanders","NA","NA","NA",12847,0
"2021-01-14","Wallonia","NA","NA","NA",6526,0
"2021-01-15","Brussels","NA","NA","NA",799,0
"2021-01-15","Flanders","NA","NA","NA",14764,0
"2021-01-15","Wallonia","NA","NA","NA",6346,0
"2021-01-16","Brussels","NA","NA","NA",9,0
"2021-01-16","Flanders","NA","NA","NA",4641,0
"2021-01-16","Wallonia","NA","NA","NA",306,0
"2021-01-17","Brussels","NA","NA","NA",4,0
"2021-01-17","Flanders","NA","NA","NA",2835,0
"2021-01-17","Wallonia","NA","NA","NA",1,0
"2021-01-18","Brussels","NA","NA","NA",125,0
"2021-01-18","Flanders","NA","NA","NA",5484,109
"2021-01-18","Wallonia","NA","NA","NA",4135,0
"2021-01-19","Brussels","NA","NA","NA",1252,55
"2021-01-19","Flanders","NA","NA","NA",10533,10
"2021-01-19","Wallonia","NA","NA","NA",6195,116
"2021-01-20","Brussels","NA","NA","NA",874,4
"2021-01-20","Flanders","NA","NA","NA",12771,418
"2021-01-20","Wallonia","NA","NA","NA",5156,0
"2021-01-21","Brussels","NA","NA","NA",931,0
"2021-01-21","Flanders","NA","NA","NA",17744,0
"2021-01-21","Wallonia","NA","NA","NA",8554,0
"2021-01-22","Brussels","NA","NA","NA",806,1
"2021-01-22","Flanders","NA","NA","NA",20657,29
"2021-01-22","Wallonia","NA","NA","NA",5625,1
"2021-01-23","Brussels","NA","NA","NA",131,0
"2021-01-23","Flanders","NA","NA","NA",6669,7
"2021-01-23","Wallonia","NA","NA","NA",424,0
"2021-01-24","Brussels","NA","NA","NA",3,0
"2021-01-24","Flanders","NA","NA","NA",1671,0
"2021-01-24","Wallonia","NA","NA","NA",104,0
"2021-01-25","Brussels","NA","NA","NA",204,0
"2021-01-25","Flanders","NA","NA","NA",7546,0
"2021-01-25","Wallonia","NA","NA","NA",1466,0
"2021-01-26","Brussels","NA","NA","NA",317,578
"2021-01-26","Flanders","NA","NA","NA",4807,32
"2021-01-26","Wallonia","NA","NA","NA",2212,662
"2021-01-27","Brussels","NA","NA","NA",414,671
"2021-01-27","Flanders","NA","NA","NA",6256,691
"2021-01-27","Wallonia","NA","NA","NA",1989,972
"2021-01-28","Brussels","NA","NA","NA",208,424
"2021-01-28","Flanders","NA","NA","NA",3116,1157
"2021-01-28","Wallonia","NA","NA","NA",1342,1797
