"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
"2020-12-28","Brussels","NA","NA","NA",56,0
"2020-12-28","Flanders","NA","NA","NA",123,0
"2020-12-28","Wallonia","NA","NA","NA",119,0
"2020-12-29","Flanders","NA","NA","NA",1,0
"2020-12-30","Brussels","NA","NA","NA",5,0
"2020-12-30","Flanders","NA","NA","NA",473,0
"2020-12-30","Wallonia","NA","NA","NA",1,0
"2020-12-31","Flanders","NA","NA","NA",9,0
"2021-01-01","Brussels","NA","NA","NA",1,0
"2021-01-01","Wallonia","NA","NA","NA",6,0
"2021-01-04","Flanders","NA","NA","NA",1,0
"2021-01-05","Brussels","NA","NA","NA",615,0
"2021-01-05","Flanders","NA","NA","NA",36,0
"2021-01-05","Wallonia","NA","NA","NA",930,0
"2021-01-06","Brussels","NA","NA","NA",986,0
"2021-01-06","Flanders","NA","NA","NA",914,0
"2021-01-06","Wallonia","NA","NA","NA",1945,0
"2021-01-07","Brussels","NA","NA","NA",985,0
"2021-01-07","Flanders","NA","NA","NA",2142,0
"2021-01-07","Wallonia","NA","NA","NA",4929,0
"2021-01-08","Brussels","NA","NA","NA",1229,0
"2021-01-08","Flanders","NA","NA","NA",2971,0
"2021-01-08","Wallonia","NA","NA","NA",4923,0
"2021-01-09","Brussels","NA","NA","NA",1,0
"2021-01-09","Flanders","NA","NA","NA",3139,0
"2021-01-09","Wallonia","NA","NA","NA",36,0
"2021-01-10","Brussels","NA","NA","NA",11,0
"2021-01-10","Flanders","NA","NA","NA",348,0
"2021-01-10","Wallonia","NA","NA","NA",36,0
"2021-01-11","Brussels","NA","NA","NA",10,0
"2021-01-11","Flanders","NA","NA","NA",3736,0
"2021-01-11","Wallonia","NA","NA","NA",1657,0
"2021-01-12","Brussels","NA","NA","NA",1076,0
"2021-01-12","Flanders","NA","NA","NA",7942,0
"2021-01-12","Wallonia","NA","NA","NA",6313,0
"2021-01-13","Brussels","NA","NA","NA",3193,0
"2021-01-13","Flanders","NA","NA","NA",9489,0
"2021-01-13","Wallonia","NA","NA","NA",7622,0
"2021-01-14","Brussels","NA","NA","NA",1698,0
"2021-01-14","Flanders","NA","NA","NA",13150,0
"2021-01-14","Wallonia","NA","NA","NA",6616,0
"2021-01-15","Brussels","NA","NA","NA",801,0
"2021-01-15","Flanders","NA","NA","NA",15178,0
"2021-01-15","Wallonia","NA","NA","NA",6369,0
"2021-01-16","Brussels","NA","NA","NA",9,0
"2021-01-16","Flanders","NA","NA","NA",4658,0
"2021-01-16","Wallonia","NA","NA","NA",306,0
"2021-01-17","Brussels","NA","NA","NA",4,0
"2021-01-17","Flanders","NA","NA","NA",3117,0
"2021-01-17","Wallonia","NA","NA","NA",6,0
"2021-01-18","Brussels","NA","NA","NA",128,0
"2021-01-18","Flanders","NA","NA","NA",5725,109
"2021-01-18","Wallonia","NA","NA","NA",4140,0
"2021-01-19","Brussels","NA","NA","NA",1252,55
"2021-01-19","Flanders","NA","NA","NA",10807,10
"2021-01-19","Wallonia","NA","NA","NA",6199,116
"2021-01-20","Brussels","NA","NA","NA",889,4
"2021-01-20","Flanders","NA","NA","NA",13547,418
"2021-01-20","Wallonia","NA","NA","NA",5179,0
"2021-01-21","Brussels","NA","NA","NA",1223,0
"2021-01-21","Flanders","NA","NA","NA",18421,0
"2021-01-21","Wallonia","NA","NA","NA",8942,0
"2021-01-22","Brussels","NA","NA","NA",879,1
"2021-01-22","Flanders","NA","NA","NA",21459,29
"2021-01-22","Wallonia","NA","NA","NA",5834,1
"2021-01-23","Brussels","NA","NA","NA",140,0
"2021-01-23","Flanders","NA","NA","NA",6944,7
"2021-01-23","Wallonia","NA","NA","NA",447,0
"2021-01-24","Brussels","NA","NA","NA",4,0
"2021-01-24","Flanders","NA","NA","NA",1736,0
"2021-01-24","Wallonia","NA","NA","NA",104,0
"2021-01-25","Brussels","NA","NA","NA",284,0
"2021-01-25","Flanders","NA","NA","NA",8237,0
"2021-01-25","Wallonia","NA","NA","NA",1872,0
"2021-01-26","Brussels","NA","NA","NA",440,652
"2021-01-26","Flanders","NA","NA","NA",6247,37
"2021-01-26","Wallonia","NA","NA","NA",2932,668
"2021-01-27","Brussels","NA","NA","NA",583,714
"2021-01-27","Flanders","NA","NA","NA",8107,757
"2021-01-27","Wallonia","NA","NA","NA",2696,1449
"2021-01-28","Brussels","NA","NA","NA",672,714
"2021-01-28","Flanders","NA","NA","NA",8592,1890
"2021-01-28","Wallonia","NA","NA","NA",3823,3708
"2021-01-29","Brussels","NA","NA","NA",504,677
"2021-01-29","Flanders","NA","NA","NA",6183,2390
"2021-01-29","Wallonia","NA","NA","NA",3056,3945
"2021-01-30","Brussels","NA","NA","NA",27,29
"2021-01-30","Flanders","NA","NA","NA",1257,2158
"2021-01-30","Wallonia","NA","NA","NA",102,85
"2021-01-31","Brussels","NA","NA","NA",7,4
"2021-01-31","Flanders","NA","NA","NA",497,243
"2021-01-31","Wallonia","NA","NA","NA",46,47
"2021-02-01","Brussels","NA","NA","NA",89,6
"2021-02-01","Flanders","NA","NA","NA",2422,2381
"2021-02-01","Wallonia","NA","NA","NA",248,157
"2021-02-02","Brussels","NA","NA","NA",62,223
"2021-02-02","Flanders","NA","NA","NA",1781,3553
"2021-02-02","Wallonia","NA","NA","NA",958,2813
