"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
"2020-12-28","Brussels","NA","NA","NA",56,0
"2020-12-28","Flanders","NA","NA","NA",123,0
"2020-12-28","Wallonia","NA","NA","NA",119,0
"2020-12-29","Flanders","NA","NA","NA",1,0
"2020-12-30","Brussels","NA","NA","NA",5,0
"2020-12-30","Flanders","NA","NA","NA",473,0
"2020-12-30","Wallonia","NA","NA","NA",1,0
"2020-12-31","Flanders","NA","NA","NA",9,0
"2021-01-01","Brussels","NA","NA","NA",1,0
"2021-01-01","Wallonia","NA","NA","NA",6,0
"2021-01-04","Flanders","NA","NA","NA",1,0
"2021-01-05","Brussels","NA","NA","NA",615,0
"2021-01-05","Flanders","NA","NA","NA",35,0
"2021-01-05","Wallonia","NA","NA","NA",908,0
"2021-01-06","Brussels","NA","NA","NA",986,0
"2021-01-06","Flanders","NA","NA","NA",914,0
"2021-01-06","Wallonia","NA","NA","NA",1945,0
"2021-01-07","Brussels","NA","NA","NA",985,0
"2021-01-07","Flanders","NA","NA","NA",2142,0
"2021-01-07","Wallonia","NA","NA","NA",4929,0
"2021-01-08","Brussels","NA","NA","NA",1230,0
"2021-01-08","Flanders","NA","NA","NA",2971,0
"2021-01-08","Wallonia","NA","NA","NA",4925,0
"2021-01-09","Brussels","NA","NA","NA",1,0
"2021-01-09","Flanders","NA","NA","NA",3139,0
"2021-01-09","Wallonia","NA","NA","NA",36,0
"2021-01-10","Brussels","NA","NA","NA",11,0
"2021-01-10","Flanders","NA","NA","NA",348,0
"2021-01-10","Wallonia","NA","NA","NA",36,0
"2021-01-11","Brussels","NA","NA","NA",10,0
"2021-01-11","Flanders","NA","NA","NA",3736,0
"2021-01-11","Wallonia","NA","NA","NA",1657,0
"2021-01-12","Brussels","NA","NA","NA",1079,0
"2021-01-12","Flanders","NA","NA","NA",7962,0
"2021-01-12","Wallonia","NA","NA","NA",6318,0
"2021-01-13","Brussels","NA","NA","NA",3202,0
"2021-01-13","Flanders","NA","NA","NA",9528,0
"2021-01-13","Wallonia","NA","NA","NA",7640,0
"2021-01-14","Brussels","NA","NA","NA",1699,0
"2021-01-14","Flanders","NA","NA","NA",13305,0
"2021-01-14","Wallonia","NA","NA","NA",6617,0
"2021-01-15","Brussels","NA","NA","NA",802,0
"2021-01-15","Flanders","NA","NA","NA",15166,0
"2021-01-15","Wallonia","NA","NA","NA",6366,0
"2021-01-16","Brussels","NA","NA","NA",9,0
"2021-01-16","Flanders","NA","NA","NA",4658,0
"2021-01-16","Wallonia","NA","NA","NA",306,0
"2021-01-17","Brussels","NA","NA","NA",4,0
"2021-01-17","Flanders","NA","NA","NA",3117,0
"2021-01-17","Wallonia","NA","NA","NA",6,0
"2021-01-18","Brussels","NA","NA","NA",128,0
"2021-01-18","Flanders","NA","NA","NA",5725,109
"2021-01-18","Wallonia","NA","NA","NA",4140,0
"2021-01-19","Brussels","NA","NA","NA",1252,55
"2021-01-19","Flanders","NA","NA","NA",10805,10
"2021-01-19","Wallonia","NA","NA","NA",6198,116
"2021-01-20","Brussels","NA","NA","NA",889,4
"2021-01-20","Flanders","NA","NA","NA",13618,418
"2021-01-20","Wallonia","NA","NA","NA",5188,0
"2021-01-21","Brussels","NA","NA","NA",1224,0
"2021-01-21","Flanders","NA","NA","NA",18776,0
"2021-01-21","Wallonia","NA","NA","NA",8945,0
"2021-01-22","Brussels","NA","NA","NA",881,1
"2021-01-22","Flanders","NA","NA","NA",21635,29
"2021-01-22","Wallonia","NA","NA","NA",5836,1
"2021-01-23","Brussels","NA","NA","NA",140,0
"2021-01-23","Flanders","NA","NA","NA",6982,7
"2021-01-23","Wallonia","NA","NA","NA",447,0
"2021-01-24","Brussels","NA","NA","NA",4,0
"2021-01-24","Flanders","NA","NA","NA",1736,0
"2021-01-24","Wallonia","NA","NA","NA",104,0
"2021-01-25","Brussels","NA","NA","NA",284,0
"2021-01-25","Flanders","NA","NA","NA",8238,0
"2021-01-25","Wallonia","NA","NA","NA",1873,0
"2021-01-26","Brussels","NA","NA","NA",445,652
"2021-01-26","Flanders","NA","NA","NA",6254,37
"2021-01-26","Wallonia","NA","NA","NA",3085,668
"2021-01-27","Brussels","NA","NA","NA",592,714
"2021-01-27","Flanders","NA","NA","NA",8423,758
"2021-01-27","Wallonia","NA","NA","NA",3078,1536
"2021-01-28","Brussels","NA","NA","NA",676,740
"2021-01-28","Flanders","NA","NA","NA",9008,1892
"2021-01-28","Wallonia","NA","NA","NA",3839,3881
"2021-01-29","Brussels","NA","NA","NA",635,810
"2021-01-29","Flanders","NA","NA","NA",6318,2390
"2021-01-29","Wallonia","NA","NA","NA",3177,3974
"2021-01-30","Brussels","NA","NA","NA",27,30
"2021-01-30","Flanders","NA","NA","NA",1340,2158
"2021-01-30","Wallonia","NA","NA","NA",103,91
"2021-01-31","Brussels","NA","NA","NA",8,4
"2021-01-31","Flanders","NA","NA","NA",509,243
"2021-01-31","Wallonia","NA","NA","NA",46,47
"2021-02-01","Brussels","NA","NA","NA",97,6
"2021-02-01","Flanders","NA","NA","NA",2773,2827
"2021-02-01","Wallonia","NA","NA","NA",458,157
"2021-02-02","Brussels","NA","NA","NA",275,384
"2021-02-02","Flanders","NA","NA","NA",4594,5272
"2021-02-02","Wallonia","NA","NA","NA",2238,4182
"2021-02-03","Brussels","NA","NA","NA",190,1445
"2021-02-03","Flanders","NA","NA","NA",1609,4932
"2021-02-03","Wallonia","NA","NA","NA",1021,3378
