"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
"2020-12-28","Brussels","NA","NA","NA",56,0
"2020-12-28","Flanders","NA","NA","NA",123,0
"2020-12-28","Wallonia","NA","NA","NA",119,0
"2020-12-29","Flanders","NA","NA","NA",1,0
"2020-12-30","Brussels","NA","NA","NA",5,0
"2020-12-30","Flanders","NA","NA","NA",473,0
"2020-12-30","Wallonia","NA","NA","NA",1,0
"2020-12-31","Flanders","NA","NA","NA",9,0
"2021-01-01","Brussels","NA","NA","NA",1,0
"2021-01-01","Wallonia","NA","NA","NA",6,0
"2021-01-04","Flanders","NA","NA","NA",1,0
"2021-01-05","Brussels","NA","NA","NA",615,0
"2021-01-05","Flanders","NA","NA","NA",35,0
"2021-01-05","Wallonia","NA","NA","NA",908,0
"2021-01-06","Brussels","NA","NA","NA",986,0
"2021-01-06","Flanders","NA","NA","NA",914,0
"2021-01-06","Wallonia","NA","NA","NA",1945,0
"2021-01-07","Brussels","NA","NA","NA",985,0
"2021-01-07","Flanders","NA","NA","NA",2143,0
"2021-01-07","Wallonia","NA","NA","NA",4928,0
"2021-01-08","Brussels","NA","NA","NA",1230,0
"2021-01-08","Flanders","NA","NA","NA",2972,0
"2021-01-08","Wallonia","NA","NA","NA",4925,0
"2021-01-09","Brussels","NA","NA","NA",1,0
"2021-01-09","Flanders","NA","NA","NA",3139,0
"2021-01-09","Wallonia","NA","NA","NA",36,0
"2021-01-10","Brussels","NA","NA","NA",11,0
"2021-01-10","Flanders","NA","NA","NA",348,0
"2021-01-10","Wallonia","NA","NA","NA",37,0
"2021-01-11","Brussels","NA","NA","NA",10,0
"2021-01-11","Flanders","NA","NA","NA",3743,0
"2021-01-11","Wallonia","NA","NA","NA",1658,0
"2021-01-12","Brussels","NA","NA","NA",1079,0
"2021-01-12","Flanders","NA","NA","NA",7963,0
"2021-01-12","Wallonia","NA","NA","NA",6319,0
"2021-01-13","Brussels","NA","NA","NA",3326,0
"2021-01-13","Flanders","NA","NA","NA",9534,0
"2021-01-13","Wallonia","NA","NA","NA",7652,0
"2021-01-14","Brussels","NA","NA","NA",1703,0
"2021-01-14","Flanders","NA","NA","NA",13721,0
"2021-01-14","Wallonia","NA","NA","NA",6758,0
"2021-01-15","Brussels","NA","NA","NA",802,0
"2021-01-15","Flanders","NA","NA","NA",15174,0
"2021-01-15","Wallonia","NA","NA","NA",6367,0
"2021-01-16","Brussels","NA","NA","NA",9,0
"2021-01-16","Flanders","NA","NA","NA",4658,0
"2021-01-16","Wallonia","NA","NA","NA",306,0
"2021-01-17","Brussels","NA","NA","NA",4,0
"2021-01-17","Flanders","NA","NA","NA",3117,0
"2021-01-17","Wallonia","NA","NA","NA",6,0
"2021-01-18","Brussels","NA","NA","NA",128,0
"2021-01-18","Flanders","NA","NA","NA",5961,109
"2021-01-18","Wallonia","NA","NA","NA",4140,0
"2021-01-19","Brussels","NA","NA","NA",1252,55
"2021-01-19","Flanders","NA","NA","NA",10818,10
"2021-01-19","Wallonia","NA","NA","NA",6198,116
"2021-01-20","Brussels","NA","NA","NA",889,4
"2021-01-20","Flanders","NA","NA","NA",13667,418
"2021-01-20","Wallonia","NA","NA","NA",5189,0
"2021-01-21","Brussels","NA","NA","NA",1224,0
"2021-01-21","Flanders","NA","NA","NA",19323,0
"2021-01-21","Wallonia","NA","NA","NA",8947,0
"2021-01-22","Brussels","NA","NA","NA",881,1
"2021-01-22","Flanders","NA","NA","NA",21650,29
"2021-01-22","Wallonia","NA","NA","NA",5836,1
"2021-01-23","Brussels","NA","NA","NA",140,0
