DATE,TYPE,REGION,VIALS,DOSES_PER_VIAL,DOSES,MAX_DOSES_PER_VIAL,MAX_DOSES
2021-06-30,AstraZeneca,Flanders,40290,10,402900,12,483480
2021-06-30,Moderna,Flanders,4990,10,49900,12,59880
2021-06-30,AstraZeneca,Wallonia,21840,10,218400,12,262080
2021-06-30,Moderna,Wallonia,2710,10,27100,12,32520
2021-06-30,AstraZeneca,Brussels,1900,10,19000,12,22800
2021-06-30,Moderna,Brussels,880,10,8800,12,10560
2021-06-30,AstraZeneca,Ostbelgien,470,10,4700,12,5640
2021-06-30,Moderna,Ostbelgien,-50,10,-500,12,-600
2021-06-30,AstraZeneca,Other,300,10,3000,12,3600
2021-06-30,Moderna,Other,20,10,200,12,240
2021-06-30,AstraZeneca,Stock,4950,10,49500,12,59400
2021-06-30,Moderna,Stock,90,10,900,12,1080
2021-07-01,Janssen (J&J),Flanders,17760,5,88800,6,106560
2021-07-01,Janssen (J&J),Wallonia,9620,5,48100,6,57720
2021-07-01,Janssen (J&J),Brussels,3120,5,15600,6,18720
2021-07-01,Janssen (J&J),Ostbelgien,-320,5,-1600,6,-1920
2021-07-01,Janssen (J&J),Stock,540,5,2700,6,3240
2021-07-05,Pfizer/BioNTech,Other,585,6,3510,7,4095
2021-07-05,Pfizer/BioNTech,Flanders,52650,6,315900,7,368550
2021-07-05,Pfizer/BioNTech,Wallonia,22815,6,136890,7,159705
2021-07-05,Pfizer/BioNTech,Brussels,-780,6,-4680,7,-5460
2021-07-05,Pfizer/BioNTech,Ostbelgien,585,6,3510,7,4095
2021-07-05,Pfizer/BioNTech,Stock,-2340,6,-14040,7,-16380
2021-07-08,Janssen (J&J),Flanders,3425,5,17125,6,20550
2021-07-08,Janssen (J&J),Wallonia,1800,5,9000,6,10800
2021-07-08,Janssen (J&J),Brussels,590,5,2950,6,3540
2021-07-08,Janssen (J&J),Ostbelgien,-95,5,-475,6,-570
2021-07-08,Janssen (J&J),Stock,40,5,200,6,240
2021-07-09,Moderna,Flanders,3930,10,39300,12,47160
2021-07-09,Moderna,Wallonia,1193,10,11930,12,14316
2021-07-09,Moderna,Brussels,1627,10,16270,12,19524
2021-07-09,Moderna,Stock,90,10,900,12,1080
2021-07-12,Pfizer/BioNTech,Other,585,6,3510,7,4095
2021-07-12,Pfizer/BioNTech,Flanders,55380,6,332280,7,387660
2021-07-12,Pfizer/BioNTech,Wallonia,17940,6,107640,7,125580
2021-07-12,Pfizer/BioNTech,Brussels,-780,6,-4680,7,-5460
2021-07-12,Pfizer/BioNTech,Ostbelgien,585,6,3510,7,4095
2021-07-13,AstraZeneca,Flanders,6900,10,69000,12,82800
2021-07-13,AstraZeneca,Brussels,1520,10,15200,12,18240
2021-07-13,AstraZeneca,Ostbelgien,80,10,800,12,960
2021-07-13,AstraZeneca,Stock,3740,10,37400,12,44880
2021-07-14,AstraZeneca,Wallonia,-10000,10,-100000,12,-120000
2021-07-14,AstraZeneca,Brussels,-100,10,-1000,12,-1200
2021-07-14,AstraZeneca,Ostbelgien,-600,10,-6000,12,-7200
2021-07-14,AstraZeneca,Donations - other,15000,10,150000,12,180000
